Msg, perfect oracle queries, our algorithm:, succeeded, external queries (no reps), false positives, false positive locations, false negatives, reverts,revert locations, first multiplier, did 2b, fp correct reduce,double unanimous:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce, triple majority:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce
1348700499532806491955249219492248867972973721112229181122401395038490516997789095814564830858350711618809179683764850444836162720481584154914083508488232211159382794512664538945520097283287265062486052866853718733737251639404011713704151491067670308703445325395073156169842955156439626738816985701013329041354104404764422524858164978026285152065850720507216931878457166858395645046439776996437181387712158201145418532740236806419131555463663756858339664242279311856410485504476961690352189954388912091500701095907325713155471713021127086613093117203172392984650737117267674772439344417486998958866310574939952125,9385,,True, 10626 (10295),4, [395& 819& 6390& 6594],180,2,['6470'& '6635'],1595,False,0,,True,5491 (5480),1,1,False,-1,,True,11959 (9785),0,167,False,0
1277523402306347134330406716377252903708830612001149506649785289532625702196129820750866105044335553890299122365826359250678055584078267616810788221443560016922949279128281380433452338924047461751661724793977444697771571894464769885382888588298573943322043805095020815985140715258399070661596130782041757132573147886113477801729529258988603068125869638021570601061666097083730300315509075881899266042773457734241467861729294696106983964073598883060635845770902294852891230976235687687188525293522513045406582206683571629860810203539139008278998159939969305890654466592439380498372538889838549638625463835541856974,9745,,True, 29692 (29313),9, [2283& 2586& 8067& 11765& 11949& 13747& 19050& 19361& 23209],145,1,['23284'],21643,False,0,,True,13034 (10859),0,327,False,0,,False,31699 (29449),1,148,True,0
1331936266682549478262847877878292531399015697184860110965903647964734870633596196702122012604973687097915495575279108461086019123712333809513990057361576334433232546934344759216293435855773402503184724822027656529760392046383623754445624119643001521762023922213692136386450268774487124639808589498661684807513354359525172270767477181749127358684045978515656907636462647667786752734032795939478829973830294926271034761678209777099862956361474219986436720431114057326566798954306777463031981762283221057063584892170933903011490675953102294134510616173683861995707823587423341149806335996900755885184151302893994737,9413,,True, 10784 (10481),4, [2986& 4737& 6390& 8247],156,3,['3050'& '6479'& '8331'],1822,False,0,,True,12844 (10703),0,285,False,0,,True,12444 (10257),0,172,False,0
1478515781258014649526260645567238422954624059909539577032633037902857195166602705926268625107941479449431381341001010109961941246892660742102468149388590566866979786568569810051286369764819569854622866393325234196095366896917756428226698575667766634183108731378282342831063035476996143645542405040636892330855429126896748447648895782900323978945668087622574313057395499646927054015025006266615168976924476453628342740095950241992438844085340874391841688978287328685956850378723597452316540357591125155797796243094244084642367900309941856603585303758833654729699762714935379357260122334463916002829661990979976015,7956,,True, 8995 (8658),3, [3423& 4633& 5416],151,1,['4669'],11,False,0,,True,11611 (9422),0,344,False,0,,True,10970 (8801),0,183,False,0
1306417968592981444954769381432670011091319226968063080894547563923405496364090263097399642426535192029211737381425022621855516704514508079524094942480332288336060987788729702940967431815824297186064118659299502153527264563157832287432382295217265607919686339743746452202187927886336208587526565844615396537612568174130357155199041704694802158344093783312443461718992434925718080115544480595366423304741694182737777809090760782441594948344187467238256210494671839526972785842371174168530766085584449571148483805989679766633554433307519913937945720418523027736400024018479961776378077222304631818917700067026395332,8707,,True, 10073 (9728),3, [2743& 4320& 6141],164,3,['2851'& '4428'& '6201'],2179,False,0,,True,12187 (9992),0,334,False,0,,False,11588 (9399),1,186,False,0
1444896886448673158600270020471609613602154222653242094004456999864627843758569327201747951608498386548542703811570634886324335710276460548535166740503335618360219847734871462462914116254251995436910161855798104359514952843138469828271443856348227241088478768847086727891952538326657905973364395829498023660565895797473757206797380347165443364292184759551940180165563825132303996667465803696662760928332088023608725697443621225979282063328186386297777778506503549269639154059560370603339618670574619097269714355671010890682739026678171447742670133642168041754352886468767502496335902959030523998557463734361108597,8164,,True, 9479 (9140),2, [648& 4202],144,1,['725'],394,False,0,,True,11780 (9637),0,299,False,0,,True,10958 (8772),0,159,False,0
1314097712380273685852025979467082548096288592499663166668213381961949025572496701984456747520484893679281121893277784752022479862111765486907480990904865243242168553473487070316904526910793300115542754665256747520734701065977980398778112162012972968827300326185492384091548298169977101110685964568190294983237031571793914626111169731563031160543078065737834270554833457738639784951798062548779754907286395957426292160430547047054098182130979033751157786429939401180081178295594365089063170166507160115218648478977632073358565116966359702321539151836496498179699496069561292618304060688344389564363582511380868689,9178,,True, 10598 (10242),4, [3613& 4156& 4290& 9612],171,4,['3669'& '4201'& '4335'& '9660'],2070,False,0,,True,12612 (10456),0,311,False,0,,True,12233 (10039),0,177,False,0
1415401000773482700885705518483646674260718826642565032827185669228666118011197954405417993731614267517279203954642208654094226629603776893689484277161206053515639679292838085190701667949598665221260733364770719779576187168754517082714890119859818384279134752401004116078108086965570558342547909044854870757849926726661609830562978825858127813532928399509964864777645758985460796680932846410264904536592322926073208888196330227862597456129666746549595557401297918472192259178221451009459945317496446220545034024982430035921500471305071940690504289740246344442023186407106709327844121375675903038866780647021986151,9770,,True, 27854 (27481),11, [1297& 1581& 2496& 3637& 5016& 7716& 7916& 9298& 17232& 23010& 24530],138,2,['23071'& '24567'],17933,False,0,,True,12753 (10584),0,310,False,0,,True,12337 (10151),0,166,False,0
1385167568055894830894518373045759219270318664649569395016147729358789299443710272624268429404088381856208495048592202368721339739352252363083022158929881974149685809238278084241570715476469112115746191092072918058959504626242954739338152332933530706374932352351803195958239334574973462484893940696077322815490925375370321655886622407253194077464238022789532966835004206503350619760518092478481374939295264430588308752467233073340644532039811771794771207814985196795059338205304543311587160507053832512495772118134295061818007132834600114038378807616250735368601251079892592631179322018345570259013088133743801817,8804,,True, 10126 (9805),4, [1462& 4468& 6269& 9734],162,2,['4514'& '6308'],1120,False,0,,True,12339 (10147),0,358,False,0,,True,11455 (9271),0,143,False,0
1247772599289187856094556445969729827734141653655171714694053837922042528240224453953256139642321703854839645508448352213997763700354723628281524188158736889445628508543532897671436186052472340768251748298257677648298099624791093473215993090257975003236675645420633232096577715446870750419524985554358887239100432359835229678876153044785417751505958164215381404579014548266112001900133568480010717894240399796488079037528362513548832151762420166271112612781085708988199235715262337102302648793438682276406877431678912272194318066232412939978404285394849242473259671587742286002003068904383421634612786735928818101,9805,,False, 30117 (30055),14, [1240& 5898& 10066& 10466& 10820& 11449& 11677& 16008& 16740& 17688& 20527& 22922& 27724& 29451],1,-1,[],0,False,0,,True,13252 (11089),0,300,False,0,,True,12902 (10699),0,204,False,0
1312894379481252880169418564824020263491345409974537011445879410360397899890709236257891231206225036646978459929580697044176267491244161861482161229882430603560640221452910444781269623379747296273689996542089309921656743111668867284807391540681581144693647217268187123719342185117967244586971077402749511908369138243983692894582890371327234164891558413285598758540949757049794381922599932626294764915047541078161947814709338647812990858056339844490254837829482497233957769742969830610220618029418120625250750782156339855357551503344291558255089634586202032698802414291649921887776914712094808997406187545222532163,9416,,True, 10518 (10178),4, [2933& 4276& 5751& 7019],168,1,['5819'],2087,False,0,,False,31609 (29404),0,317,False,0,,True,12300 (10123),0,184,False,0
1430377028534540489258652007968614614120438822373350317266869968047172524419220291733035336590234753209868858831245003854153488454015355435086483235292875539691697280369339655331534043130828383804920810726866368998755803978200516056940417517745696221940493324711452806265821295514978676847591434274338127433505851894176417310113264597939902939581804197204747601489978203214287763686811973657876064347920436461505016959800261449497797475930334127968306809054928265388432316519568327066871331213258566808818382926060701291486391517376452247798046256853879158156813441344192898941886325305800028638919738746078874519,8582,,True, 9534 (9232),3, [546& 5421& 9223],151,1,['5493'],565,False,0,,True,11418 (9255),0,310,False,0,,True,11026 (8849),0,186,False,0
1284415403593166012937403468753523184194924228703283865965039960423338972424775578091360110792649252817505086026916757490362216336499508260474218725642405319411134924409983532702699892275795009329850653466773640738429020659449740287940306722777292871336100295594529639716040070096114974540677533986673511921722807230022312351541434025192937287428375731799591700779347071249044248865099995376918522522535456276892442825205129924671687558185258912325278896494933217636882677272546398761617462743572003168873757116643531939744577912321922679683022245803296392621439279802302296899629233345316230742805986570562789811,8985,,True, 10254 (9931),5, [337& 1901& 2672& 2940& 8117],173,2,['2735'& '3023'],2498,False,0,,True,12516 (10344),0,336,False,0,,True,11985 (9797),0,187,False,0
1350413384381589872755192332548695793743028074278197273223040218052592448047052211282550188089503397510019355727053737318556372336780051277626840335735622437093634298779631562384593464776406637629265024745619666433692582367254857136391260988564341652168194858432483463015054911577802635058196057588273611088884855322234232111576198547049204118736294828098606087417385468880666617561324916170527868774328989280218756110489694480915686676272527177249827673377428279336152179206389177349024105850658290930382727387679645515957606687325488076721868769741056976584752242789444753585413115868913591858115089748505455259,9361,,True, 10913 (10581),7, [463& 2882& 3186& 3988& 7899& 10086& 10273],163,4,['3235'& '7984'& '10135'& '10311'],1572,False,0,,True,12654 (10486),0,303,False,0,,True,12008 (9808),0,164,False,0
1416542576459922611961320204690784309006776482951414332070419203893289879320435001831834009615219257914221783329172448749489605287686710575379589635912880413252217267877914117094627881368895110883105559800662097537295361250681702289886538256133030709392088143724736807355364136915685294169375885382759909915070277205813665610464041129186520322865601929834478414034819445086905631323397628888558318765735581317145640658484195944631953114827157529299201695852386510282011020956692100340463897229894121916670207157181713957231588327369996591842533296751600185963543258699413384080702785433012326660884880138875079063,8400,,True, 9706 (9354),7, [103& 244& 3949& 4360& 7859& 8158& 8386],159,3,['3999'& '4446'& '7920'],731,False,0,,False,30045 (29999),0,1,False,-1,,True,11537 (9359),0,170,False,0
1464994633393833084960185539331668025751612917543370432453300061440280377854966395534104783935145122799454149850636186994530533264793532331200334155601602128411839762743910378567129474551456268060741277393121700909965146747365758779298964504065535804841315687450670743632335879412640920827963089625102835452868226122595362382306008508236089537311845154843046956844999666335458095549288829036599268394248033021089395357071281107513228510720212667817663568019864552727609435180529155477798303793230546567616576390278455284510150376330209037145423814818091772882418332070584557572971622231013322655540051185973182278,7537,,True, 8682 (8352),1, [6030],138,1,['6071'],163,False,0,,False,30057 (29999),0,1,False,-1,,True,10575 (8388),0,143,False,0
