Msg, perfect oracle queries, our algorithm:, succeeded, external queries (no reps), false positives, false positive locations, false negatives, reverts,revert locations, first multiplier, did 2b, fp correct reduce,double unanimous:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce, triple majority:,succeeded, external queries (no reps), false positives, false negatives, did 2b, fp correct reduce
1250031484629903723338788548721454121661116358167147618388261331518691861526274230473288625883882337885950717228050779779462313321631142698864641767008936187201654250308463399694464532934059920628286924670454022495333248474442926547593704724648759783530661761656409889208946698124917396131313987610977251131195201783441316570640051798194878621015457170447611406333522274014515597945035677463910752204423331530278500995254358352076451525530359618872836177594452409202558894105289521041883857049264298895496808202108838620325680019902292141363070651893965519645472681939522709134666201944063342290448255456032477509,9173,,TRUE, 10356 (9979),3, [290& 1531& 9140],168,0,[],3019,FALSE,0,,TRUE,12458 (10302),0,297,FALSE,0,,TRUE,12173 (10003),0,167,FALSE,0
1281689316282888677365788835855957513460253414702135195437932833371438037509580491098495156172531371699243509235712571170670856856140254410525634343279799366236679476659238461385423268112839785436534526790408093826210048217838472569780029410185066403695835730063910418750170007424777499959451213671672377079417127928956680300341486762055077637990306104757794225529843632002893839049128792927074964506595239694935268966341187809229259959107720852809748679123587547353011395757694122120404447940252252301509787162785835604776763876405464523887591836998177096590455639004285265606803888130027554720278202471779969978,9186,,TRUE, 10017 (9708),3, [1480& 4155& 7398],159,1,['7454'],2538,FALSE,0,,TRUE,12300 (10121),0,335,FALSE,0,,TRUE,12025 (9826),0,161,FALSE,0
1448176241509964453980889690793746114839865116645735440868458293619034924795854683133106933016999212967172220755982450391129344616429606510058580462874944809594274529290590287007962745574232456178548713853105723074352585013312054043690873540388266827623076423819538586595848909505628796443226182350961789169695422999393537113537201980583757422833664595332166875127133915576086421610192464266001062741417267767573890008698727924225396955566207800469376811768095324134501084749897736517681216775612510961441508672525209578820730744130261995873313964383082146576304763417684559784115850884963582832185683335692663216,8438,,TRUE, 10506 (10189),3, [2590& 5841& 8179],172,3,['2637'& '5902'& '8234'],356,FALSE,0,,TRUE,12343 (10176),0,315,FALSE,0,,TRUE,12067 (9882),0,202,FALSE,0
1405081077305834297162962311988629939764751560987419746059595385984333936865504205120863299255581408007120573141110948047819334949355319185871468374916664432491332928201637146330400234567177701989849334683407553893092381025578662764003386331320140400846694208232215794571222789681572770542176139001193225347912507693131438749950716120301116999840528100785405544158706500476985437830136988823773554209783390916887048051197851558978741054784391520729802245221169690874671007741110632655968977823046168729592229036398046832107229528139468309463267980860687043076323510010760440930265497915375214538587571629772550391,7528,,TRUE, 8674 (8340),4, [1088& 1542& 2502& 4772],166,3,['1135'& '1601'& '2552'],871,FALSE,0,,TRUE,10775 (8598),0,311,FALSE,0,,TRUE,10344 (8147),0,168,FALSE,0
1312389161496150418821230715502858651577742130761545767200810994557749879169655152046782193205264811191340501618174536895702361820017860141372203145443640702711766675181820809524257886096839006180597318517297156934376278270014274654952727186259427160363452482528885912872827426863942559099001229717187095742979979315843635277741208801032721817371943037881286892409754054231944840766710345130550551436714204581886126003181508317761269432550040083549891873321954013586529880485682133711789431277727012962188226522126029107595941600773153650771429815512722052049139042741853987024265612890002987859385744942638386406,8951,,TRUE, 10062 (9739),3, [2673& 2808& 5487],171,1,['2862'],2094,FALSE,0,,FALSE,30039 (29999),0,1,FALSE,-1,,TRUE,11722 (9543),0,153,FALSE,0
1463761157608631722974531577501834199500887137366797669528207743729864316403561946252665782094317998378480837821144095305788873119098439712982256010372471066286360210504179489344248178975367561823803901002207727391783469373043238133695927673849177829803537375902630459736397223916270333182973357937600944395047700087484750307013483094804689221361769694866991857143852388332639785620125152158625492758118602629515817565871581904139211418350384887381526063115318429037588899582407473790975659012288063678122910713836437760180502049821378000810391545836275594889657075725536857813606494654512980385730630510836205106,7684,,TRUE, 8746 (8421),4, [9& 3227& 4814& 4862],130,2,['3270'& '4899'],177,FALSE,0,,FALSE,30059 (29999),0,1,FALSE,-1,,TRUE,10261 (8077),0,171,FALSE,0
1228630001999315898628569583664895482093180647552815978432567027919732981996463597963798721743755236442135359426110495796174093121207908509664725783751733719021995694824509266582718844155089506105990059855500276936874106185598478434164353291161498558370942775998984904777324817951974317253790191567425393057661512114680763721392274777894226181584057281843022770687586776376837935649018240706826898990656428692954974523731966207619580016025376378409073497020537147611939851546652868177803052575438514694958859067039005424431706981924644483606455703943334017670896424614509661247903227786827864489464612156327489198,9669,,TRUE, 11107 (10772),6, [653& 2042& 4916& 6552& 7488& 8437],166,3,['4969'& '7580'& '8499'],3358,FALSE,0,,FALSE,31934 (30001),0,277,FALSE,-1,,TRUE,12564 (10365),0,180,FALSE,0
1350421289614111637195489161444180097455248602799953081771195596234715247025632820670022042923628011258769905444182541187745769205878140270200973453079542690162224482814736416397979481954656570428460886771576563503181859554005617711145285086592415619928827628878999567546881164825965987365549847771332285949068467668231275860836029583906753215812371301013732385206982544420206095485352523339522746694777475512001947679139646170477171536963638865908876804161403503583520156714981629871408475719636159216193553752312114525442502495348286257184815064824113910810395299051599206810692302678707664850546369876337640309,9335,,TRUE, 10490 (10141),4, [1522& 1574& 5809& 9051],178,1,['9101'],1572,FALSE,0,,TRUE,12805 (10615),0,367,FALSE,0,,TRUE,12213 (10041),0,167,FALSE,0
1461907051574420444270004381754894137793185556410038388003135768156662568088709032967862412101359925779546718577767161451302786397001127268211580848476799635876110548816299537542302580003122260584885722566674411983423872820844305154705854562333191319029091123200637606503878381926932593094105269841465321582436334829872225314486052762180084297260995197695264257013339919020043421876098812166365076825062789604322595951942013520881471298333806273873092491659198540529457964947369562701733811149007628468243306459638977575826230686615799795998214903008546341382437527141459437864689855850386431349558732110012380790,7357,,TRUE, 8398 (8067),3, [3305& 3323& 4853],178,1,['3404'],198,FALSE,0,,TRUE,10354 (8193),0,301,FALSE,0,,TRUE,9983 (7797),0,174,FALSE,0
1401923737635238126757698141828900387883468839624745403133530531499951532503956377439837541192651489102747450282617580292530915993323103046766580425520960734629213881425442032688598355500219456735518163773883197025180536422194974811173297578172405880236777076683909418216321599593983467434249283904173928603141577003808658074992612140330830400960946773123929140389972000040756261232464625915188374296112312723395539504174699993857526963200056560336460159815474011602374016307698574430947138492028805502660572306819596616064013307297174194877403151465034421046761854568742915776175241236747008283042210239470776993,7323,,TRUE, 8444 (8135),2, [6971& 7774],160,2,['7023'& '7838'],910,FALSE,0,,TRUE,10900 (8731),0,330,FALSE,0,,TRUE,10534 (8310),0,196,FALSE,0
1264243910226529969340359593830328866468888751378686552129565271113693048400281462404023850664258745517482522339568119073369867668010813965861874806397903401532011372191853969136964158766257204596302963117943836303571831480690389204263350915958322637250493539678645789065187368562537948176409148358738494057950151802166905910873586477883431456848444985023112985474086468734062640115007087842658257971406392886070415321847960901313465469211806776267941745639609447522292230210894101810641937408271660765852033944542516720473613226833048461096326281400767470559867464947487757661783057108347198436322648513609290377,9913,,TRUE, 10941 (10618),2, [41& 1776],160,0,[],2800,FALSE,0,,TRUE,13429 (11235),0,318,FALSE,0,,TRUE,12997 (10797),0,160,FALSE,0
1445250439572152757823278717112451973189919432516480137015230634732132806059228482258112162697406324793188432654349927978175922057726867463222317858031544069500568788777109945236893955959000026955481774192591149997162194078576992484565560632723693311650410546330683207181432430594614736061990774748475500938341512446080279073200418307307133313065805170759278640583639962155536204986198627389200930647832247585660277151847202437812917914701231181866328278778981363999279427945135753047204474935078871940208215692151689180199526619312656051400638706215894900674840024258118217156829084753419335479904159209764990384,8772,,TRUE, 9987 (9676),1, [4614],152,1,['4658'],390,FALSE,0,,TRUE,11954 (9776),0,312,FALSE,0,,TRUE,11715 (9519),0,179,FALSE,0
1403309884274181690106336697004451528847481675625580145339537401341372079694121174310832774529752208176602933759014045194475115382392792236593073436783497351691404218870225590374434540816317323154211735231076790498055295948337853919216215196392986666437069562517524617780444089543527083108070980353394782641986761543708667616824178484070511600397492190450926205468056544593341975591801730439502158667023017667240979647483791139454493092306425708958341202252519648995067080104135478398607915019441976117808359761969329327283242190403551408388227521902430688353435154635448512286770096589948395815178866489095291240,7886,,TRUE, 26148 (25741),9, [2739& 6267& 8862& 9362& 12900& 13254& 16572& 16955& 19694],166,1,['19746'],18229,FALSE,0,,TRUE,11326 (9144),0,328,FALSE,0,,TRUE,10715 (8511),0,152,FALSE,0
1371110974458538690419986780766124827884066612456718778165486170389808071902274886680194588731270957870165665305489154774771354125933819077212901567056869893745481630472163901310244227461208459766296953092533568707689728132313772503443526791558666813151049247462859802793674535153783958092821143914546011651398567978186145021239998436359002966346254636891719263360343757405811724884219754555955497843770609032438175032258173134877019188792197958930891788284334234211423659269339009238654145329509675828118263430058399856491845038271312245701134474262577449469072255257748329796725625804151366453684645149992483040,8348,,TRUE, 9497 (9171),1, [6782],153,1,['6845'],1300,FALSE,0,,TRUE,11548 (9362),0,321,FALSE,0,,TRUE,11012 (8800),0,150,FALSE,0
1443616569984569034423051194238459599313786339220950743630359653070736302674911851809295435364491645204385055473216092543927706318854404910071069592299015359264746928704670577733192218121841265253719259787855876898293137973733575190782515274188286673929688975216121766957008235192058383018202817662990172001329347616064489030473988914819262589733531749321413698065035677134588490819483099496219028035910195370220165047157073059006628607806087790930893788158441501155783827421045376417738100307075015275701997291802041498487439191963797759424407334698667578208312320696447877937793509293416874573772142230358207631,7734,,TRUE, 8488 (8191),2, [6686& 6862],176,2,['6762'& '6938'],409,FALSE,0,,TRUE,10545 (8386),0,318,FALSE,0,,TRUE,10166 (7971),0,183,FALSE,0
1389837634334671036550016770193953376225269550881224469775366358126816870119245169679037845340983697364192020495672435747545714344655234179804048370355647192372406824658927828434278441133718122364786034951268227922281717688478036946604627249170204157070800776858513794130520291108545244347916239916902047892118303672011378906486270386844725468826161666638916651379699098075551638619319879429640249329324562273128317739852127486930444789982990837484143669132497463084142620919097509348055300099517610630126216010037054180561232612351061354836913387728185864446899010428659745678421290566405420948944703082379192080,8714,,TRUE, 10041 (9702),3, [8468& 9208& 9246],176,2,['8519'& '9287'],1061,FALSE,0,,TRUE,11791 (9603),0,334,FALSE,0,,TRUE,11904 (9696),0,190,FALSE,0
1468616949120761684699413688796440312251581283016406381826445774468870937374644179280774435845760317897275298411609913841774190409624070258567438411411167463457568927787954206490317693287823806728531262614871650004548742182016399171079555594839242026937153887522022930164078214279552500647372600097038119783388223616806035852436669279524450568142056484899418804823347694681313220872596801084379603327910736895353694095925564931205617532897067272092347622129779041864336124616626225170701547802099290960867559465418511347849991716429444237434425575688243441930760162996299653276762079615736813002790379171221130015,7162,,TRUE, 9448 (9122),7, [693& 5072& 6395& 6808& 7287& 7540& 8533],178,7,['747'& '5113'& '6497'& '6870'& '7340'& '7591'& '8595'],122,FALSE,0,,TRUE,10637 (8468),0,337,FALSE,0,,TRUE,9856 (7710),0,157,FALSE,0
1343491583830676787932971832411492529729570153676560928422469568425261082345861452901203945182530656706623615238424484061895885351701663157112884044467441387266732756912710119106808697062477308297793624311127878407799554203545427951581534988582988678911246273195886113493028114316289578860330986696351158384691092089142727710552801527940915430863754507123157203584438200405378942176668221183729707950060593406232536913816442844946138795327515176790820705261566735408561548181522053307653435506262515248053738353858812198552620425398665395445796048392233920473495305316202897604526334272483655719866127042894839550,9372,,TRUE, 10840 (10498),2, [2358& 2932],167,2,['2421'& '3006'],1665,FALSE,0,,TRUE,12942 (10776),0,298,FALSE,0,,TRUE,11807 (9605),0,160,FALSE,0
1454059511792623973540711426215823038333083677087707495434652280740007760502965842720966379627589599478227663633268694283060401101567228881255144069199253295865298842842212386392980370464373791690606428917350685816439711975545839529847915497588842478567039907510467807307379361190120763907766216933479498712434897410992978905199178666653605029708915692838815955409121999863104658561495246243131508382788895361487371186761782876732242270843631212342467097459591021183708669592934404001546645086039822291166739039204612387434088819927936106864997450262784009981047793536589122933749168357103428361445614908410094910,7716,,TRUE, 9170 (8821),2, [1927& 4448],166,2,['2003'& '4492'],288,FALSE,0,,TRUE,11404 (9246),0,321,FALSE,0,,TRUE,10839 (8663),0,157,FALSE,0
1266019083837026252090115886224198418086881490030651000127310351559145778380649209302126288711132141652279845035819413717924578528152988982178285647143005181992563081438473289077433293731282187440536459695857436442462998071184856962762855664556609185541204910234882418563126539021438046278692089690037922321862308115488478197402449891799823063864095963490862359085931039304556910687195664206294953707380400617918447936499337366855418733452261472464976578340383200372834698996487795971138183201904872441927007643650302412345383991781545169553886985835767917990329322324863960059488337970405279854768996242993253949,9418,,TRUE, 10766 (10468),3, [749& 3443& 9356],179,2,['3512'& '9432'],2773,FALSE,0,,TRUE,12825 (10673),0,296,FALSE,0,,TRUE,12278 (10088),0,172,FALSE,0
1465799215848118584574398856682788017319470686180246886634057036677843046996623433664107502554907880564046511696101926694897725461269266432827661344383438988844133751498108142539028193537406389653246955121027229967366714284920480508862358587496212738933905279434477153512906668598078231871076017992929142757818452984020025827823610318722679574179276024419245061860363491660580366637688635852783335744297117623335366163653834105313773996245159616030048213071704536514528682461085802694783158566102687385645524549135387547913067585088054451601193914568600105837339824841203639231079736132766878842490619255961684939,7734,,TRUE, 9034 (8705),1, [5418],163,1,['5494'],154,FALSE,0,,TRUE,11487 (9301),0,321,FALSE,0,,TRUE,10779 (8595),0,165,FALSE,0
1312056418919468562242440862600828024363723774109965860749383233152856304862497149937009622066980621453378980734503623664340436718563723841878418625176669069541136017126966795106653599309942936275900191460443284217778598089473035685274879981680421100368022608000946244725434885562447334523157249788007241458895311308891268120993154444240254175781409263909673507252430365303617743302812423339610144585781325949647868553385824118626833978670342607859465017590015280465953982625742506079782463786730075194853638024323868300389195802735727579446498782813377646417235607945937361197392177620584285009370695535901315777,8377,,TRUE, 9587 (9253),3, [185& 3390& 8159],177,1,['3429'],2099,FALSE,0,,TRUE,11944 (9756),0,336,FALSE,0,,FALSE,30091 (29999),0,1,FALSE,-1
1427344462904284915058559382947801588034332056277307789293187106210402658738818211587681156719667547277801413757639615993826929178154566893082116206634646940011547473093825402043952045718999631074878052980179831050911395562651314275244121350872330236457239596031931136220235826984199033171782775364072431896713915677238488287173630986234126499753129300871750769387946951652119308531904222711248810193971651649397705669046878989225340946933362767008820002715962143268654122931931071947697554498691116098345611939513749171276759462064693060945339466852975051523005065878370002101241316413918053271481055404878189888,7675,,TRUE, 8726 (8393),3, [58& 159& 8209],149,1,['8276'],601,FALSE,0,,TRUE,10777 (8614),0,301,FALSE,0,,TRUE,10696 (8499),0,176,FALSE,0
1285343802431655006536708705342689513094261047173471501002288897217041111505969378276321224098799519574752022403021730193455926123978972409448123238865735156867826130615014960559260683064188354413146860741250066909306013049218717521728934835066725789388141088807969204912285990815411281534581329792953874785117660092476045297054154604554180882595733697250554793536562482502645442715314386753907937891212449323979134534411675108299907183741807053395290875174895929217418503619937820644675301501363645602997119754345914888916264133366067897935832805796097872213532636611849409500370039969908591325533600124043701703,9519,,TRUE, 10973 (10618),4, [1978& 8753& 9554& 10254],165,3,['8805'& '9625'& '10354'],2484,FALSE,0,,TRUE,12965 (10802),0,309,FALSE,0,,TRUE,12047 (9864),0,184,FALSE,0
1289169099456749602024662907428198041975086742090398481290786795757183338316569553200479657460513740137878385020460929152088349176358848811834820198639034014971884077341964475334040592218190372143816868060801819132602568068361633876341093439641176924143119035218871711528259000269305809212528300159239191857513128884418453546249964066672340094184464384543473492056610814675695176880022027759432069220786177159523544298430532437179600729482692171332729688241639079069835221222659474419052421387077827675516039486037616959541477507817325973093427096952368597780342383298952107379534881105880532991874688244683934339,9595,,TRUE, 10727 (10354),4, [2282& 5275& 7147& 10112],172,3,['5343'& '7190'& '10174'],2428,FALSE,0,,TRUE,12659 (10502),0,292,FALSE,0,,TRUE,12758 (10554),0,178,FALSE,0
1369722660011992406031546926353018782723005027219596835363283984314155659610266913868987932339117835900931973645500166412487663095941742961585892944590887757545140857692400928548059490652100329821829514121528065954397082786643394892528832347474586225053992653452750392415266598906338674711857042399077978431513999419617810201792216003843351440094744145372590356890504396427144994251844203975418844418105980690647948004732073145973336929528092167989696456898639263895226236455288546308431366298769135467864158705520012553807581447932055039551285552814528100452434400017383374242657257200492741865436083948649248770,9135,,TRUE, 10945 (10616),5, [1943& 4987& 5101& 7944& 9382],179,4,['5076'& '5202'& '8007'& '9457'],1318,FALSE,0,,TRUE,12364 (10190),0,312,FALSE,0,,TRUE,11886 (9685),0,168,FALSE,0
1402022551726937770608236291593517371809565802263341061959721776361645419947972933680068789746473599880555734477625193935425186374357125376233615113909456851653025031801797672940460993823838261571441556677026478173860229422389166655047402618698463955384880404566899623241693784017312607841051749062140506553994604913925158769765153916322503076641691647063675227133906245203551177498025429851907761936660448700614349493610820203932846733903334700662174019371248501195462662199442258218775435445898456774366341349071031190093990614286023990490917333553441746150937647039389477264420259594274935615655802300971499641,8855,,TRUE, 10388 (10074),2, [502& 9368],192,1,['9423'],909,FALSE,0,,TRUE,12522 (10363),0,300,FALSE,0,,TRUE,12078 (9883),0,149,FALSE,0
